date	category	title	venue	source_url	retrieval	chars	fetched_file
2023-09-20	essay	What Happens When Tech Bros Run National Security? – with Abraham Newman	TIME	https://time.com/6315670/big-tech-national-security/	live	9267	by/2023--hfn-what-happens-when-tech-bros-run-national-security-with.md
2023-04-21	essay	How Artificial Intelligence Can Aid Democracy – with Bruce Schneier and Nathan E. Sanders	Slate	https://slate.com/technology/2023/04/ai-public-option.html	live	10891	by/2023--hfn-how-artificial-intelligence-can-aid-democracy-with-bruc.md
2023-11-24	essay	Binance and the End of Crypto’s Dream to Escape From Government – with Abraham Newman	The Wall Street Journal	https://www.wsj.com/finance/currencies/the-end-of-cryptos-dream-to-escape-from-government-110aeca9	live-or-wayback-2026-08-13	0	by/2023--wsj-binance-and-the-end-of-cryptos-dream-to-escape-from-government.md
2024-08-01	essay	No Exit Opportunities: Business Models and Political Thought in Silicon Valley	American Affairs	https://americanaffairsjournal.org/2024/08/no-exit-opportunities-business-models-and-political-thought-in-silicon-valley/	live	37041	by/2024--hfn-no-exit-opportunities-business-models-and-political-tho.md
2024-03-02	essay	Canada Needs to Start Preparing for Trump – and Getting Other Allies Involved – with Abraham Newman	The Globe and Mail	https://www.theglobeandmail.com/opinion/article-canada-needs-to-start-preparing-for-trump-and-getting-other-allies/	live	5117	by/2024--hfn-canada-needs-to-start-preparing-for-trump-and-getting-o.md
2024-09-04	essay	Large Language Models Will Upend Human Rituals – with Marion Fourcade	The Economist	https://www.economist.com/by-invitation/2024/09/04/large-language-models-will-upend-human-rituals	failed	0	
2024-09-19	essay	America Should Think Twice Before Replacing Sanctions with Tariffs – with Abraham Newman	Financial Times	https://www.ft.com/content/8d84f669-5c8a-4bf6-8e24-5474076f214a	failed	0	
2024-05-22	essay	Consulting Firms Have Stumbled Into a Geopolitical Minefield – with Abraham Newman	Foreign Policy	https://foreignpolicy.com/2024/05/22/consulting-firms-business-data-regulation-china-mckinsey/	live	16693	by/2024--hfn-consulting-firms-have-stumbled-into-a-geopolitical-mine.md
2020-05-01	interview	Interview with Sophie Roell on “The Best Books on the Politics of Information”	The Economist	https://www.economist.com/christmas-specials/2019/12/18/can-technology-plan-economies-and-destroy-democracy	live-short	1371	by/2020--hfn-interview-with-sophie-roell-on-the-best-books-on-the-po.md
2019-10-23	interview	Interview with economist Tyler Cowen on Weaponized Interdependence, Big Tech, and Playing with Ideas	Conversations with Tyler	https://conversationswithtyler.com/episodes/henry-farrell/	live	74605	by/2019--hfn-interview-with-economist-tyler-cowen-on-weaponized-inte.md
2020-04-01	interview	“Panopticons and Chokepoints,” an interview with Richard Byrne	wilsonquarterly.com	https://www.wilsonquarterly.com/quarterly/who-writes-the-rules/panopticons-and-chokepoints	live	21969	by/2020--wilsonquarterly-panopticons-and-chokepoints.md
2023-12-06	public-writing	Review by Paul Krugman, “The American Way of Economic War”	Foreign Affairs	https://www.foreignaffairs.com/regions/united-states	live	6128	by/2023--hfn-review-by-paul-krugman-the-american-way-of-economic-war.md
2025-02-21	essay	Silicon Valley’s Reading List Reveals Its Political Ambitions	paulgraham.com	https://paulgraham.com/cities.html	failed	0	
2025-02-17	essay	This Is How Trump Will Smash the Machine of U.S. Economic Power	The New York Times	https://www.nytimes.com/2025/02/17/opinion/trump-economic-security-crypto.html	live-or-wayback-2026-08-13	0	by/2025--nyt-this-is-how-trump-will-smash-the-machine-of-us-economic-power.md
2025-02-27	interview	The Silicon Valley canon and malformed publics: Podcast with Max Read and John Ganz	Read Max (Substack)	https://maxread.substack.com/p/the-silicon-valley-canon-and-malformed	live	4058	by/2025--hfn-the-silicon-valley-canon-and-malformed-publics-podcast.md
2025-04-02	essay	The Reactionary Right is Not a Monolith	presidency.ucsb.edu	https://www.presidency.ucsb.edu/documents/remarks-the-vice-president-the-american-dynamism-summit	live	24979	by/2025--hfn-the-reactionary-right-is-not-a-monolith.md
2025-01-22	essay	Count the Costs of Cutting Technological Ties with China	acf.sais.jhu.edu	https://acf.sais.jhu.edu/assets/files/SAIS_GCRatH_Farrell.pdf	live-or-wayback-2026-08-13	0	by/2025--sais-count-the-costs-of-cutting-technological-ties-with-china.md
2025-04-03	essay	The Brewing Transatlantic Tech War	Foreign Affairs	https://www.foreignaffairs.com/united-states/brewing-transatlantic-tech-war	live	22406	by/2025--hfn-the-brewing-transatlantic-tech-war.md
2025-05-01	essay	The Abundance Debate We’re Not Having	Combinations Magazine	https://www.combinationsmag.com/the-abundance-debate-were-not-having/	live	16400	by/2025--hfn-the-abundance-debate-were-not-having.md
2025-07-17	essay	The Enshittification of American Power	WIRED	https://www.wired.com/story/tiktok-platforms-cory-doctorow/	live	24657	by/2025--hfn-the-enshittification-of-american-power.md
2025-08-22	essay	The Weaponized World Economy: Cover story for Foreign Affairs	Foreign Affairs	https://www.foreignaffairs.com/united-states/weaponized-world-economy-farrell-newman	live	38177	by/2025--hfn-the-weaponized-world-economy-cover-story-for-foreign-af.md
2025-10-15	essay	How Civil Society Can Beat Trumpism: NYT	The New York Times	https://www.nytimes.com/2025/10/08/opinion/trump-universities-compact-civil-society.html	live-or-wayback-2026-08-13	0	by/2025--nyt-how-civil-society-can-beat-trumpism.md
2026-02-06	interview	The Most Important Foreign Policy Speech in Years	The New York Times	https://www.nytimes.com/2026/01/27/opinion/ezra-klein-podcast-henry-farrell.html	wayback	3403	by/2026--hfn-the-most-important-foreign-policy-speech-in-years.md
2026-08-10	essay	Does Silicon Valley Dream of Philip K. Dick?	Financial Times	https://www.ft.com/content/bdcf7729-3b03-49ec-82fb-b5773fdaa990	failed	0	
2023-06-21	essay	Behold the AI shoggoth – with Cosma Shalizi	The Economist	https://www.economist.com/by-invitation/2023/06/21/artificial-intelligence-is-a-familiar-looking-monster-say-henry-farrell-and-cosma-shalizi	live-short	1819	by/2023--hfn-behold-the-ai-shoggoth-with-cosma-shalizi.md
2015-02-14	essay	Dark Leviathan	Aeon	https://aeon.co/essays/why-the-hidden-internet-can-t-be-a-libertarian-paradise	live	20393	by/2015--hfn-dark-leviathan.md
2018-01-16	essay	Philip K. Dick and the Fake Humans	Boston Review	https://www.bostonreview.net/articles/henry-farrell-philip-k-dick-and-fake-humans/	live	12871	by/2018--hfn-philip-k-dick-and-the-fake-humans.md
2020-01-20	essay	In praise of negativity	Statistical Modeling, Causal Inference, and Social Science	https://statmodeling.stat.columbia.edu/2020/07/22/is-it-better-to-be-more-positive/	failed	0	
2024-02-14	essay	Can Big Tech Serve Democracy? – with Glen Weyl	Boston Review	https://www.bostonreview.net/articles/can-big-tech-serve-democracy/	live	26967	by/2024--hfn-can-big-tech-serve-democracy-with-glen-weyl.md
2013-04-25	essay	There is no alternative	Aeon	https://aeon.co/essays/the-left-is-now-too-weak-for-democracy-to-survive	live	21869	by/2013--hfn-there-is-no-alternative.md
2019-05-14	essay	Democracy’s Dilemma – with Bruce Schneier	Boston Review	https://www.bostonreview.net/forum/forum-henry-farrell-bruce-schneier-democracys-dilemma/	live	30529	by/2019--hfn-democracys-dilemma-with-bruce-schneier.md
2023-04-14	essay	The New Libertarian Elitists – with Hugo Mercier and Melissa Schwartzberg	Democracy: A Journal of Ideas	https://democracyjournal.org/magazine/68/the-new-libertarian-elitists/	live	33812	by/2023--hfn-the-new-libertarian-elitists-with-hugo-mercier-and-meli.md
