year	openalex_id	all_openalex_ids	title	venue	type	cited_by	oa_status	file	notes
2020	W3080411973	W3080411973	Detecting signal from science:The structure of research communities and prior knowledge improves prediction of genetic regulatory experiments	arXiv (Cornell University)	journal-article	0	green	by/2020--detecting-signal-from-science-the-structure-of-research-communities.md	preprint version
2020	W3215674081	W3215674081 W3016360477	Human Evaluation of Interpretability: The Case of AI-Generated Music Knowledge	arXiv (Cornell University)	journal-article	4	green	by/2020--human-evaluation-of-interpretability-the-case-of-ai-generated.md	preprint version; OpenAlex duplicates merged: W3215674081 W3016360477
2020	W3049686202	W3049686202	Interview 9 James A. Evans		interview	0	closed	by/2020--interview-9-james-a-evans.md	
2020	W3104564914	W3104564914	Social Computing Unhinged	Journal of Social Computing	essay	29	diamond	by/2020--social-computing-unhinged.md	
2020	W3006655792	W3006655792 W3000791544	Social centralization and semantic collapse: Hyperbolic embeddings of networks and text	Poetics	journal-article	19	closed	by/2020--social-centralization-and-semantic-collapse-hyperbolic-embeddings-of-networks.md	OpenAlex duplicates merged: W3006655792 W3000791544
2020	W3037976475	W3037976475	The New Rules of Knowledge: An Introduction	Critical Inquiry	journal-article	3	closed	by/2020--the-new-rules-of-knowledge-an-introduction.md	
2020	W3133640688	W3133640688 W3037911642	Too many cooks: Coordinating multi-agent collaboration through inverse planning.	eScholarship (California Digital Library)	journal-article	0	closed	by/2020--too-many-cooks-coordinating-multi-agent-collaboration-through-inverse.md	OpenAlex duplicates merged: W3133640688 W3037911642
2019	W7160478323	W7160478323	Analysis (OSF preprint, Rzhetsky/Evans/Danchev)	OSF Preprints (OSF Preprints)	journal-article	0	green	by/2019--analysis-osf-preprint-rzhetsky-evans-danchev.md	preprint version
2019	W2985854561	W2985854561	Beyond the Meme: Development and Structure in Cultural Evolution (Foster & Evans chapter)	Minnesota studies in the philosophy of science	book-chapter	5	closed	by/2019--beyond-the-meme-development-and-structure-in-cultural-evolution.md	
2019	W2954112540	W2954112540 W7163031806 W7163040731 W2988644889	Centralized scientific communities are less likely to generate replicable results	eLife	journal-article	30	gold	by/2019--centralized-scientific-communities-are-less-likely-to-generate-replicable.md	OpenAlex duplicates merged: W2954112540 W7163031806 W7163040731 W2988644889
2019	W2986079325	W2986079325	Computation and the Sociological Imagination	Contexts	essay	23	bronze	by/2019--computation-and-the-sociological-imagination.md	
2019	W3043971534	W3043971534	Discovering the Extent of Estimable Prediction (DEEP) in Science and Technology		journal-article	0	closed	by/2019--discovering-the-extent-of-estimable-prediction-deep-in-science.md	
2019	W2913773162	W2913773162 W4398560861	Large teams develop and small teams disrupt science and technology	Nature	journal-article	1043	closed	by/2019--large-teams-develop-and-small-teams-disrupt-science-and.md	OpenAlex duplicates merged: W2913773162 W4398560861
2019	W2983247460	W2983247460	Long-range Event-level Prediction and Response Simulation for Urban Crime and Global Terrorism with Granger Networks	arXiv (Cornell University)	journal-article	2	green	by/2019--long-range-event-level-prediction-and-response-simulation-for.md	preprint version
2019	W4242921109	W4242921109	Promiscuous Inventions: Modeling Cultural Evolution with Multiple Inheritance	University of Minnesota Press eBooks	book-chapter	3	closed	by/2019--promiscuous-inventions-modeling-cultural-evolution-with-multiple-inheritance.md	
2019	W2982316861	W2982316861 W3033660780	Quantifying the dynamics of failure across science, startups and security	Nature	journal-article	84	green	by/2019--quantifying-the-dynamics-of-failure-across-science-startups-and.md	OpenAlex duplicates merged: W2982316861 W3033660780
2019	W2981063185	W2981063185	Science and Technology Advance through Surprise	arXiv (Cornell University)	journal-article	10	green	by/2019--science-and-technology-advance-through-surprise.md	preprint version
2019	W2912793700	W2912793700	Simple Surveys: Response Retrieval Inspired by Recommendation Systems	Social Science Computer Review	journal-article	3	green	by/2019--simple-surveys-response-retrieval-inspired-by-recommendation-systems.md	
2019	W3011350159	W3011350159	The Academic Priors Project	Open MIND	journal-article	1	green	by/2019--the-academic-priors-project.md	preprint version
2019	W2794635328	W2794635328	The Geometry of Culture: Analyzing the Meanings of Class through Word Embeddings	American Sociological Review	journal-article	482	bronze	by/2019--the-geometry-of-culture-analyzing-the-meanings-of-class.md	
2019	W3101346006	W3101346006 W2780711780 W4288481351	The wisdom of polarized crowds	Carolina Digital Repository (University of North Carolina at Chapel Hill)	journal-article	161	green	by/2019--the-wisdom-of-polarized-crowds.md	OpenAlex duplicates merged: W3101346006 W2780711780 W4288481351
2019	W2962723373	W2962723373 W2889992667	Wasserstein Soft Label Propagation on Hypergraphs: Algorithm and Generalization Error Bounds	Proceedings of the AAAI Conference on Artificial Intelligence	journal-article	4	diamond	by/2019--wasserstein-soft-label-propagation-on-hypergraphs-algorithm-and-generalization.md	OpenAlex duplicates merged: W2962723373 W2889992667
2018	W2788294944	W2788294944	Adaptive Sampling for Coarse Ranking	arXiv (Cornell University)	journal-article	6	green	by/2018--adaptive-sampling-for-coarse-ranking.md	preprint version
2018	W2913737608	W2913737608	Ambiguity and Engagement	American Journal of Sociology	journal-article	50	closed	by/2018--ambiguity-and-engagement.md	
2018	W2783430197	W2783430197	Centralized "big science" communities more likely generate non-replicable results	arXiv (Cornell University)	journal-article	3	green	by/2018--centralized-big-science-communities-more-likely-generate-non-replicable.md	preprint version
2018	W2794577929	W2794577929	Curvature of Hypergraphs via Multi-Marginal Optimal Transport		journal-article	3	green	by/2018--curvature-of-hypergraphs-via-multi-marginal-optimal-transport.md	
2018	W2791572729	W2791572729	Measuring discursive influence across scholarship	Proceedings of the National Academy of Sciences	journal-article	54	bronze	by/2018--measuring-discursive-influence-across-scholarship.md	
2018	W2793071066	W2793071066 W3165371237	Science of science	Science	essay	1420	green	by/2018--science-of-science.md	OpenAlex duplicates merged: W2793071066 W3165371237
2018	W2904185051	W2904185051	Skill discrepancies between research, education, and jobs reveal the critical need to supply soft skills for the data economy	Proceedings of the National Academy of Sciences	journal-article	179	bronze	by/2018--skill-discrepancies-between-research-education-and-jobs-reveal-the.md	
2018	W2883130597	W2883130597	Social Connection Induces Cultural Contraction: Evidence from Hyperbolic Embeddings of Social and Semantic Networks	arXiv (Cornell University)	journal-article	3	green	by/2018--social-connection-induces-cultural-contraction-evidence-from-hyperbolic-embeddings.md	preprint version
2018	W2786497440	W2786497440	The sociology of scientific validity: How professional networks shape judgement in peer review	Research Policy	journal-article	114	green	by/2018--the-sociology-of-scientific-validity-how-professional-networks-shape.md	
2018	W2801643473	W2801643473	Too Many Papers? Slowed Canonical Progress in Large Fields of Science		journal-article	11	gold	by/2018--too-many-papers-slowed-canonical-progress-in-large-fields.md	preprint version
2018	W2891006732	W2891006732	Toward a more scientific science	Science	essay	87	closed	by/2018--toward-a-more-scientific-science.md	
2017	W3100786668	W3100786668 W2753479370	Large Teams Have Developed Science and Technology; Small Teams Have Disrupted It	SSRN Electronic Journal	journal-article	11	green	by/2017--large-teams-have-developed-science-and-technology-small-teams.md	preprint version; OpenAlex duplicates merged: W3100786668 W2753479370
2017	W2600593726	W2600593726 W4299550073	Millions of online book co-purchases reveal partisan differences in the consumption of science	Nature Human Behaviour	journal-article	99	closed	by/2017--millions-of-online-book-co-purchases-reveal-partisan-differences.md	OpenAlex duplicates merged: W2600593726 W4299550073
2016	W2419499132	W2419499132	Machine Translation: Mining Text for Social Theory	Annual Review of Sociology	journal-article	347	closed	by/2016--machine-translation-mining-text-for-social-theory.md	
2016	W2494655651	W2494655651	Reconciling the Small Effect of Rankings on University Performance with the Transformational Cost of Conformity		book-chapter	15	closed	by/2016--reconciling-the-small-effect-of-rankings-on-university-performance.md	
2015	W2130145803	W2130145803	Choosing experiments to accelerate collective discovery	Proceedings of the National Academy of Sciences	journal-article	256	bronze	by/2015--choosing-experiments-to-accelerate-collective-discovery.md	
2015	W2513833959	W2513833959	Epinets: The Epistemic Structure and Dynamics of Social Networks. By Mihnea C. Moldoveanu and Joel A. C. Baum. Stanford, Calif.: Stanford University Press, 2014. Pp. x+187. $49.95.	American Journal of Sociology	review	0	closed	by/2015--epinets-the-epistemic-structure-and-dynamics-of-social-networks.md	
2015	W2962770186	W2962770186 W1936207847	Fast, Flexible Models for Discovering Topic Correlation across Weakly-Related Collections		journal-article	4	gold	by/2015--fast-flexible-models-for-discovering-topic-correlation-across-weakly.md	OpenAlex duplicates merged: W2962770186 W1936207847
2015	W2223028523	W2223028523	Health ROI as a measure of misalignment of biomedical needs and resources	Nature Biotechnology	journal-article	63	green	by/2015--health-roi-as-a-measure-of-misalignment-of-biomedical.md	
2015	W2942626253	W2942626253	Promiscuous Inventions: Modeling Cultural Evolution with Multiple Inheritance		journal-article	4	closed	by/2015--promiscuous-inventions-modeling-cultural-evolution-with-multiple-inheritance.md	
2015	W2294177197	W2294177197	Proposing Ties in a Dense Hypergraph of Academics	Lecture notes in computer science	journal-article	4	closed	by/2015--proposing-ties-in-a-dense-hypergraph-of-academics.md	
2015	W1975724461	W1975724461	Ten Simple (Empirical) Rules for Writing Science	PLoS Computational Biology	journal-article	58	gold	by/2015--ten-simple-empirical-rules-for-writing-science.md	
2015	W2154053722	W2154053722 W2953180147	Tradition and Innovation in Scientists’ Research Strategies	American Sociological Review	journal-article	616	closed	by/2015--tradition-and-innovation-in-scientists-research-strategies.md	OpenAlex duplicates merged: W2154053722 W2953180147
2015	W340874798	W340874798	Weaving the fabric of science: Dynamic network models of science's unfolding structure	Social Networks	journal-article	164	hybrid	by/2015--weaving-the-fabric-of-science-dynamic-network-models-of.md	
2014	W2028273845	W2028273845	Active collaborative permutation learning		journal-article	11	closed	by/2014--active-collaborative-permutation-learning.md	
2014	W1991037518	W1991037518	Attention to Local Health Burden and the Global Disparity of Health Research	PLoS ONE	journal-article	205	gold	by/2014--attention-to-local-health-burden-and-the-global-disparity.md	
2014	W2626512440	W2626512440	Choosing the Next Experiment: Gains and Losses for Scientists and Society		journal-article	0	closed	by/2014--choosing-the-next-experiment-gains-and-losses-for-scientists.md	
2014	W1964521649	W1964521649	Finding Cultural Holes: How Structure and Culture Diverge in Networks of Scholarly Communication	Sociological Science	journal-article	83	gold	by/2014--finding-cultural-holes-how-structure-and-culture-diverge-in.md	
2014	W2086074129	W2086074129	Forecasting Chinese tourist volume with search engine data	Tourism Management	journal-article	434	closed	by/2014--forecasting-chinese-tourist-volume-with-search-engine-data.md	
2014	W2166942701	W2166942701	Modeling the transmission of community-associated methicillin-resistant Staphylococcus aureus: a dynamic agent-based simulation	Journal of Translational Medicine	journal-article	62	gold	by/2014--modeling-the-transmission-of-community-associated-methicillin-resistant-staphylococcus.md	
2014	W1992391733	W1992391733	Quantifying the Impact and Extent of Undocumented Biomedical Synonymy	PLoS Computational Biology	journal-article	13	gold	by/2014--quantifying-the-impact-and-extent-of-undocumented-biomedical-synonymy.md	
2014	W2251695477	W2251695477	The Modular Community Structure of Linguistic Predication Networks		journal-article	2	gold	by/2014--the-modular-community-structure-of-linguistic-predication-networks.md	
2013	W2732961340	W2732961340	Blackboxing, Conceptual Distance, and the Routines of Invention		journal-article	0	closed	by/2013--blackboxing-conceptual-distance-and-the-routines-of-invention.md	
2013	W2481408189	W2481408189 W4403861083	Communication and the Evolution of Cognition	The MIT Press eBooks	book-chapter	0	closed	by/2013--communication-and-the-evolution-of-cognition.md	OpenAlex duplicates merged: W2481408189 W4403861083
2013	W2439022684	W2439022684	Future Science	Science	essay	20	closed	by/2013--future-science.md	
2012	W2104009712	W2104009712 W4251914904	Modeling the spread of community-associated MRSA	Winter Simulation Conference	journal-article	14	closed	by/2012--modeling-the-spread-of-community-associated-mrsa.md	OpenAlex duplicates merged: W2104009712 W4251914904
2012	W2276495157	W2276495157	Stability and Conformity in Scientists’ Research Strategies		journal-article	0	closed	by/2012--stability-and-conformity-in-scientists-research-strategies.md	
2011	W2008757894	W2008757894	Advancing Science through Mining Libraries, Ontologies, and Communities	Journal of Biological Chemistry	journal-article	18	hybrid	by/2011--advancing-science-through-mining-libraries-ontologies-and-communities.md	
2011	W2018737226	W2018737226 W2237916639	Benchmarking Ontologies: Bigger or Better?	PLoS Computational Biology	journal-article	25	gold	by/2011--benchmarking-ontologies-bigger-or-better.md	OpenAlex duplicates merged: W2018737226 W2237916639
2011	W2003318443	W2003318443	Conflicting Biomedical Assumptions for Mathematical Modeling: The Case of Cancer Metastasis	PLoS Computational Biology	journal-article	20	gold	by/2011--conflicting-biomedical-assumptions-for-mathematical-modeling-the-case-of.md	
2011	W2291959075	W2291959075	Markets not Needs Drive Growth in Global Health Knowledge		journal-article	0	closed	by/2011--markets-not-needs-drive-growth-in-global-health-knowledge.md	
2011	W2273873093	W2273873093	Measuring Novelty: Models of Discovery and Invention		journal-article	0	closed	by/2011--measuring-novelty-models-of-discovery-and-invention.md	
2011	W4246649397	W4246649397	Metaknowledge	Science	essay	254	closed	by/2011--metaknowledge.md	
2011	W2480701886	W2480701886	Nonprofit Research Institutes		book-chapter	0	closed	by/2011--nonprofit-research-institutes.md	
2011	W2013571328	W2013571328	War of Ontology Worlds: Mathematics, Computer Code, or Esperanto?	PLoS Computational Biology	journal-article	10	gold	by/2011--war-of-ontology-worlds-mathematics-computer-code-or-esperanto.md	
2010	W2078554219	W2078554219	Industry Induces Academic Science to Know Less about More	American Journal of Sociology	journal-article	102	closed	by/2010--industry-induces-academic-science-to-know-less-about-more.md	
2010	W2140799492	W2140799492	Industry collaboration, scientific sharing, and the dissemination of knowledge	Social Studies of Science	journal-article	131	closed	by/2010--industry-collaboration-scientific-sharing-and-the-dissemination-of-knowledge.md	
2010	W80906861	W80906861	Machine Science	Science	essay	69	closed	by/2010--machine-science.md	
2010	W2166964376	W2166964376	NONUS: A No-Onus Platform for Generating Grant Reports		journal-article	0	closed	by/2010--nonus-a-no-onus-platform-for-generating-grant-reports.md	
2010	W4231131381	W4231131381	Response	Science	essay	2	closed	by/2010--response.md	
2010	W2251664084	W2251664084	WITHDRAWN: Novel opportunities for computational biology and sociology in drug discovery	Trends in biotechnology	journal-article	1	closed	by/2010--withdrawn-novel-opportunities-for-computational-biology-and-sociology-in.md	
2009	W2083042679	W2083042679 W148928213	Novel opportunities for computational biology and sociology in drug discovery	Trends in biotechnology	journal-article	38	closed	by/2009--novel-opportunities-for-computational-biology-and-sociology-in-drug.md	OpenAlex duplicates merged: W2083042679 W148928213
2009	W2088909840	W2088909840	Open Access and Global Participation in Science	Science	essay	264	closed	by/2009--open-access-and-global-participation-in-science.md	
2009	W2053272088	W2053272088	Response—Open Access	Science	essay	0	closed	by/2009--responseopen-access.md	
2008	W2125660293	W2125660293	Electronic Publication and the Narrowing of Science and Scholarship	Science	journal-article	367	green	by/2008--electronic-publication-and-the-narrowing-of-science-and-scholarship.md	
2008	W2612311922	W2612311922	Publikacje elektroniczne a zwężenie obszaru poszukiwań nauki i wiedzy, przeł. Tomasz Olszewski	Biblioteka	journal-article	0	diamond	by/2008--publikacje-elektroniczne-a-zwezenie-obszaru-poszukiwan-nauki-i-wiedzy.md	
2007	W2289276750	W2289276750	Start-ups in Science: Entrepreneurs, Diverse Backing, and Novelty Outside Business	Research in the sociology of organizations	book-chapter	6	closed	by/2007--start-ups-in-science-entrepreneurs-diverse-backing-and-novelty.md	
2005	W2155283803	W2155283803	Industry Collaboration and the Discipline of Academic Science: The Case of Arabidopsis Research, 1974-2003		journal-article	1	closed	by/2005--industry-collaboration-and-the-discipline-of-academic-science-the.md	
2005	W2183392052	W2183392052	Industry Collaboration and the Ethos of Academic Science: Novelty and Persistence in Arabidopsis Research, 1974-2003*		journal-article	0	closed	by/2005--industry-collaboration-and-the-ethos-of-academic-science-novelty.md	
