openalex_id	year	date	type	oa_status	doi	title	venue	authors	cited_by
W1564161834	2005	2005-01-01	article	closed		World Library and Information Congress: 71th IFLA General Conference and Council "Libraries - A voyage of discovery"		Leslie Chan; Barbara Kirsop; Sely Costa; Subbiah Arunachalam	3
W2127765089	2004	2004-11-03	article	green	https://doi.org/10.22230/cjc.2004v29n3a1455	Supporting and Enhancing Scholarship in the Digital Age: The Role of Open-Access Institutional Repositories	Canadian Journal of Communication	Leslie Chan	170
W4255416807	2004	2004-11-03	editorial	bronze	https://doi.org/10.22230/cjc.2004v29n3a1468	Editorial	Canadian Journal of Communication	Rowland Lorimer; Leslie Chan	0
W1666732536	2004	2004-01-01	conference-paper	green		Bioline international and the Journal of Post-graduate Medicine: a collaborative approach to open access publishing	E-LIS Repository (University of Naples Federico II)	DK Sahu; Leslie Chan	1
W2133291708	2004	2004-01-01	other	closed		THE CONTRIBUTION OF OPEN ARCHIVES INITIATIVES AND INSTITUTIONAL REPOSITORIES TO THE ADVANCEMENT OF KNOWLEDGE	Elpub digital library	Leslie Carr; Leslie Chan; Jen Sweezie	0
W2149202040	2004	2004-01-01	other	closed		Participation in the Global Knowledge Commons - Challenges and Opportunities for Libraries and Publishers in Developing Countries	Elpub digital library	Leslie Chan	0
W161102448	2003	2003-01-01	other	closed		Open Access Session.	Elpub digital library	Leslie Chan; Melissa Hagemann; José Borbinha; Renato M. E. Sabbatini; Mary B. Barton; Vicky Reich; David I. Rosenthal	0
W2222836963	2002	2002-01-01	book-chapter	green	https://doi.org/10.17613/3afw7-rns79	Budapest Open Access Initiative	Knowledge Commons (Lakehead University)	Chan, Leslie; Cuplinskas, Darius; Eisen, Michael; Friend, Fred; Genova, Yana; Guédon, Jean-Claude; Hagemann, Melissa; Harnad, Stevan; Johnson, Rick; Kupryte, Rima; La Manna, Manfredi; Rév, István; Segbert, Monika; de Souza, Sidnei; Suber, Peter; Velterop, Jan	9
W2156570056	2001	2001-12-20	article	green		Open archiving opportunities for developing countries: towards equitable distribution of global knowledge	E-LIS Repository (University of Naples Federico II)	Leslie Chan; Barbara Kirsop	57
W1992468151	2001	2001-01-01	article	hybrid	https://doi.org/10.1087/09531510125100269	Bioline Publications: how its evolution has mirrored the growth of the internet	Learned Publishing	Vanderlei Canhos; Leslie Chan; Barbara Kirsop	10
W1643184578	1999	1999-01-21	article	bronze	https://doi.org/10.1038/16562	Close the South-North knowledge gap	Nature	Vanderlei Canhos; Leslie Chan; Frances Giaquinto; Barbara Kirsop; Anthony ODonnell; Judy Ugonna	9
W2253603216	1996	1996-09-01	article	green		Exciting Potential of Scholarly Electronic Journals	TSpace (University of Toronto)	Leslie Chan	3
W2761892168	1996	1996-04-11	book-chapter	green	https://doi.org/10.1093/oso/9780195092103.003.0011	Phylogenetic Interpretations of Primate Socioecology: With Special Reference to Social and Ecological Diversity in Macaca		Leslie K W Chan	13
W2284891722	1996	1996-01-01	book-chapter	green		Behavior of mixed species of groups of macaques	TSpace (University of Toronto)	Frances D. Burton; Leslie Chan	0
W2562096878	1994	1994-01-01	book-chapter	green		Changing conceptions of evolutionary theory	TSpace (University of Toronto)	Leslie Chan	0
W2409796276	1989	1989-10-01	article	green	https://doi.org/10.1111/j.1600-0684.1989.tb00243.x	Congenital Limb Malformations in the Free‐Ranging Macaques of Kowloon	Journal of Medical Primatology	Frances D. Burton; Leslie Kin Wai Chan	13
W2018094809	1987	1987-03-01	article	closed	https://doi.org/10.1139/z87-115	Notes on the care of long-tail macaque (Macaca fascicularis) infants by stump-tail macaques (Macaca thibetana)	Canadian Journal of Zoology	Frances D. Burton; Leslie Kin Wai Chan	8
W2615536607			article	closed	https://doi.org/10.1590/s0042-96862009000800021	Open access: a giant leap towards bridging health inequities	DOAJ (DOAJ: Directory of Open Access Journals)	Leslie Chan; Subbiah Arunachalam; Barbara Kirsop	0
